process_name,d_fixed,diversity_violation_ratio,avg_final_linear,std_final_linear,avg_final_perm,std_final_perm,avg_final_angle,std_final_angle,avg_final_loss,std_final_loss,avg_historical_linear,avg_historical_perm,avg_historical_angle,avg_historical_loss,num_runs,total_training_time
InjectiveLinearDecoder_10D_70D,0,0.0,0.9693779587745667,0.042434685164904534,0.6218037335470823,0.014011350248885486,0.028151070699095726,0.020014458501383517,7.130159378051758,0.025725071153212344,0.9440211614966393,0.6030839643569994,0.036712904354184867,7.156380410575867,5,484.8108823299408
InjectiveLinearDecoder_10D_70D,1,0.1,0.023200194351375103,0.009750075464750874,0.06172060416564533,0.005068409261165704,0.1790173590183258,0.0013323501892703424,4.84605302810669,0.021145676936794918,0.029541953267529605,0.0620598494314048,0.17948215370178222,4.939198833274841,5,487.24870800971985
InjectiveLinearDecoder_10D_70D,2,0.2,0.013798155821859837,0.0023655642056665893,0.05641672976902519,0.002664535454758584,0.1798531621694565,0.00031139753358303126,4.811469268798828,0.00040381847693683124,0.026046249081194402,0.065747635869532,0.17929014981985092,4.844783561897278,5,484.3131489753723
InjectiveLinearDecoder_10D_70D,3,0.3,0.026865198090672494,0.008189376410366073,0.07571021157341425,0.010119791021427177,0.17859019041061402,0.0007847661643359001,4.80942440032959,0.00028147564567318175,0.04882524612955749,0.09078180814166499,0.17681830728054046,4.8314080284118655,5,485.8739800453186
InjectiveLinearDecoder_10D_70D,4,0.4,0.06070929244160652,0.018649432913022766,0.11094767563615242,0.017114107723711733,0.1754940390586853,0.001911542166233207,4.808848571777344,0.0004548477243658334,0.09879481005370618,0.13585359222627616,0.17177077906131744,4.825861318778991,5,481.4089479446411
InjectiveLinearDecoder_10D_70D,5,0.5,0.09934805631637574,0.016587118708425382,0.1435217932565312,0.013667968315891324,0.17166620790958403,0.0014625312433295499,4.808506870269776,0.00024040773301267304,0.15101512081325055,0.17300905435525077,0.16617082841992378,4.822658002853394,5,481.3600251674652
InjectiveLinearDecoder_10D_70D,6,0.6,0.16821869015693663,0.015111072120427272,0.1838909018815753,0.01718710039902711,0.16460536420345306,0.001747779695167414,4.808639621734619,0.0002441537376697131,0.21837649394571781,0.22015729663962588,0.1589862965106964,4.820376274871826,5,479.49903988838196
InjectiveLinearDecoder_10D_70D,7,0.7,0.21287680566310882,0.03164954193338966,0.22614881679131313,0.017680236727432387,0.15955215096473693,0.0035264023377836406,4.808596992492676,0.00022399866938238198,0.26638229754865167,0.2518296810378682,0.15360273041129113,4.8168748121261595,5,477.78445386886597
InjectiveLinearDecoder_10D_70D,8,0.8,0.2382691979408264,0.043837287856909234,0.25874167365166567,0.028999379485987575,0.15691056549549104,0.004468634335377599,4.80861234664917,0.000440063400506636,0.30369020407795905,0.2893531153819534,0.14917860704660416,4.813569977760315,5,472.06584453582764
InjectiveLinearDecoder_10D_70D,9,0.9,0.29886938631534576,0.0416806415946534,0.29567805788831464,0.03609727738386364,0.14954740703105926,0.004868494147106695,4.808709049224854,0.00011857796388759322,0.38037063136696814,0.3312440474581342,0.14011015381515027,4.81323747215271,5,417.6164400577545
InjectiveLinearDecoder_10D_70D,10,1.0,0.032020972669124605,0.003567187809592798,0.09295307374320697,0.007091990291747661,0.17811481654644012,0.00040994162807319196,4.8086097717285154,0.0004756079661689045,0.07282478005215526,0.13703945711183677,0.1738615532696247,4.809196070861816,5,412.7783873081207
MonomialEmbedding_10D_70D,0,0.0,0.9904411315917969,0.00016425660397926677,0.5729887134662912,0.012171305094882045,0.01826520673930645,7.202325229978104e-05,7.118130111694336,0.03011618088042229,0.9725410912036896,0.5789076299289163,0.027777030608057977,7.141302860069275,5,483.83204317092896
MonomialEmbedding_10D_70D,1,0.1,0.01544463075697422,0.004145416122134215,0.05256820794636437,0.00612940422011975,0.17937772572040558,0.0005654054323271974,4.857592487335205,0.008053489775832232,0.02880696268416941,0.06148246125604219,0.17905589652061463,4.944003405189514,5,488.80878949165344
MonomialEmbedding_10D_70D,2,0.2,0.015051740407943725,0.0029040533936238624,0.05844919256832637,0.0067498388015449625,0.17973428964614868,0.0002949792789835398,4.812792873382568,0.0009766891702813747,0.02625641843229532,0.06563937748212968,0.17910603660345079,4.845643475151062,5,485.9760980606079
MonomialEmbedding_10D_70D,3,0.3,0.03383348435163498,0.007267173000444685,0.07521840436940366,0.006709836946726878,0.17795114815235138,0.0008331123819623964,4.80988187789917,0.0004354982350943849,0.05925343388915062,0.09736323064598364,0.17575507308244706,4.833184870147705,5,484.1011996269226
MonomialEmbedding_10D_70D,4,0.4,0.041879016906023026,0.003219766303247967,0.09307148338948514,0.006936823084906843,0.17741037905216217,0.0002832478805229216,4.809229946136474,0.000400396887981755,0.07523579602539539,0.11673546589293078,0.17417232177853584,4.8279318494796755,5,483.0071382522583
MonomialEmbedding_10D_70D,5,0.5,0.09672845155000687,0.012953284704622257,0.13956877901708137,0.011805715000178373,0.1720011830329895,0.001449452833175808,4.808976554870606,0.0004921022680896857,0.15024493537843228,0.17133460937698838,0.16642943214178085,4.824670955276489,5,479.169780254364
MonomialEmbedding_10D_70D,6,0.6,0.18446727395057677,0.018303446676736248,0.20204276335367194,0.009606265368346476,0.1629864752292633,0.001774442357311312,4.808794975280762,0.00023231122682406847,0.2449551406264305,0.23609593669261594,0.1561271377682686,4.8219337635040285,5,475.7825129032135
