process_name,avg_final_linear,std_final_linear,avg_final_perm,std_final_perm,avg_final_angle,std_final_angle,avg_final_loss,std_final_loss,avg_historical_linear,avg_historical_perm,avg_historical_angle,avg_historical_loss,num_runs,total_training_time
InjectiveLinearDecoder,0.9996061205863953,6.454023744072053e-05,0.8537222532148465,0.07446627697607566,0.006707355938851833,0.0005160631087957648,7.385466861724853,0.005335105662302697,0.9966902911663056,0.8544018541246633,0.010793668013811111,7.395205149078369,5,325.7107300758362
Patches,0.9855538606643677,0.0010239723689875022,0.8357374360651667,0.05338893092223506,0.03113117963075638,0.0007804158495581655,7.429418563842773,0.0165490579172855,0.9758842277705669,0.8335893238378674,0.03929751876145601,7.4431758224487305,5,450.65275716781616
SpiralRotation,0.9985244870185852,0.00017634895365971465,0.8577039962579303,0.03688630593015583,0.011855231784284114,0.0005612047182001256,7.389540672302246,0.009932225214341605,0.9852355012834072,0.8479890773254938,0.020706252022832633,7.410581568908691,5,318.352712392807
InvertibleMLP,0.9991495013237,0.00021840572700727854,0.8219995026458902,0.03353574413178974,0.009726123977452516,0.0015014808273865238,7.38344030380249,0.010711396257492515,0.9958974023103714,0.8224710381738947,0.01401053127348423,7.396051184463501,5,313.89830112457275
Identity,0.9995684504508973,7.895232596894785e-05,0.7745890920333041,0.05318635124917393,0.007041828520596027,0.0008484493650324632,7.38748836517334,0.00625305764555014,0.9960499171614647,0.7732418029139247,0.011074721378460526,7.394744442749023,5,330.32865619659424
