process_name,encoder_type,avg_final_linear,std_final_linear,avg_final_perm,std_final_perm,avg_final_angle,std_final_angle,avg_final_loss,std_final_loss,avg_historical_linear,avg_historical_perm,avg_historical_angle,avg_historical_loss,num_runs,total_training_time
InjectiveLinearDecoder,LinearEncoder,0.8626694679260254,0.16818066728499295,0.7257848181664515,0.08531841251783205,0.08275899046566337,0.09902672978513892,6.822466468811035,0.15522456925517686,0.8564394460678101,0.722128795869891,0.09510521943087225,6.847159429550171,5,291.0377688407898
Patches,InversePatchesEncoder,0.7333247900009155,0.1493505764185656,0.5473890038947498,0.098295986783816,0.16268064975738525,0.0611269935675842,6.997884941101074,0.10081109213122448,0.698110202395916,0.5445164971824815,0.1844843508452177,7.084157946205139,5,1115.3697173595428
SpiralRotation,InverseSpiralEncoder,0.5745485067367554,0.3472122368978182,0.6190968545553115,0.3115383500671049,0.20785319646820427,0.16567735746441217,7.097502708435059,0.335435118775938,0.48545110130440444,0.5290510365422941,0.24927187329260633,7.228560507583619,5,360.32872104644775
InvertibleMLP,SphericalEncoder,0.9992055058479309,0.00011205868896845527,0.812785533960492,0.017257298926515473,0.0091388288885355,0.0005764034750404364,6.694923019409179,0.018326665986541885,0.9968623692631722,0.8115965747450319,0.01472666642665863,6.701897184181213,5,386.05585384368896
Identity,LinearEncoder,0.7997219562530518,0.16353616411311728,0.7696071689358701,0.050238697962555645,0.12302152081974782,0.09997121791688512,6.890379810333252,0.15682913412128915,0.765576042342186,0.7335892182765041,0.16843374708688352,6.957918809890747,5,213.0626699924469
